Player,Player Rating,Player Nationality,Player Side,Player Result,Player First Move,Opponent,Opponent Rating,Opponent Nationality,Opponent Side,Opponent Result,Opponent First Move,Variation,Termination,Moves,Date
Dontmesswithme_2,1634,United States of America,White,Win,d4,TH4NOS,1615,United States of America,Black,Resigned,d5,Pawn Opening 1...d5 2.e3,Dontmesswithme_2 won by resignation,28.0,2018.08.25
Dontmesswithme_2,1641,United States of America,White,Win,d4,Rabbit0206,1600,United States of America,Black,Checkmated,b6,Defense,Dontmesswithme_2 won by checkmate,23.0,2018.08.25
Dontmesswithme_2,1649,United States of America,Black,Win,e5,checkotomato,1645,Australia,White,Resigned,c4,Opening Reversed Sicilian Variation,Dontmesswithme_2 won by resignation,29.0,2018.08.25
Dontmesswithme_2,1641,United States of America,Black,Timeout,c5,Santi988,1651,Serbia,White,Win,e4,Defense Open Scheveningen Variation 6.Be3 a6,Santi988 won on time,36.0,2018.08.25
Dontmesswithme_2,1960,United States of America,Black,Resigned,e5,eyemind22,1969,Philippines,White,Win,e3,Kruijs Opening 1...e5,eyemind22 won by resignation,26.0,2018.08.25
Dontmesswithme_2,1952,United States of America,White,Checkmated,d4,KASPALOKO,1984,Brazil,Black,Win,Nf6,Game Knights Variation East Indian Defense 3.e3 Bg7,KASPALOKO won by checkmate,60.0,2018.08.25
Dontmesswithme_2,1962,United States of America,Black,Win,e5,amukmarugul,2027,Indonesia,White,Timeout,c4,Opening Kings English Variation,Dontmesswithme_2 won on time,51.0,2018.08.25
Dontmesswithme_2,1970,United States of America,White,Win,d4,toledochess,1965,Brazil,Black,Timeout,Nf6,Pawn Opening Symmetrical Variation,Dontmesswithme_2 won on time,62.0,2018.08.25
Dontmesswithme_2,1982,United States of America,White,Win,d4,TobiasBrunner,2149,Germany,Black,Resigned,d5,System Anti Colle Variation,Dontmesswithme_2 won by resignation,34.0,2018.08.25
Dontmesswithme_2,1991,United States of America,Black,Win,c5,LordKasparian,2033,Mexico,White,Resigned,e4,Defense Open Najdorf Variation 6.Bg5 e6 7.f4 Qc7,Dontmesswithme_2 won by resignation,30.0,2018.08.25
Dontmesswithme_2,1982,United States of America,Black,Resigned,c5,lingicer2003,1956,United States of America,White,Win,e4,Defense Closed,lingicer2003 won by resignation,10.0,2018.08.25
Dontmesswithme_2,1989,United States of America,White,Win,d4,lingicer2003,1949,United States of America,Black,Resigned,f5,Defense 2.Bf4,Dontmesswithme_2 won by resignation,46.0,2018.08.25
Dontmesswithme_2,1997,United States of America,White,Win,d4,Pandemiel,1963,Argentina,Black,Timeout,d6,Defense 2.d4,Dontmesswithme_2 won on time,32.0,2018.08.25
Dontmesswithme_2,1992,United States of America,White,Checkmated,d4,hanelsker,2115,Poland,Black,Win,c5,Opening Sicilian Invitation 2.d4,hanelsker won by checkmate,15.0,2018.08.26
Dontmesswithme_2,2001,United States of America,Black,Win,Nf6,ReinaDiana,2032,Mexico,White,Resigned,d4,Indian Defense Normal Variation 4.e4 O O 5.Nf3,Dontmesswithme_2 won by resignation,13.0,2018.08.26
Dontmesswithme_2,1994,United States of America,White,Resigned,d4,JackyBlond007,2054,Austria,Black,Win,Nf6,Game Spielmann Indian Variation,JackyBlond007 won by resignation,27.0,2018.08.26
Dontmesswithme_2,2003,United States of America,Black,Win,c5,JackyBlond007,2045,Austria,White,Timeout,e4,Defense Closed,Dontmesswithme_2 won on time,46.0,2018.08.26
Dontmesswithme_2,1995,United States of America,Black,Checkmated,d6,Scuer,1999,Norway,White,Win,Nf3,Pawn Opening Tartakower Variation,Scuer won by checkmate,38.0,2018.08.26
Dontmesswithme_2,2004,United States of America,White,Win,d4,przetrenowany,2027,Poland,Black,Timeout,Nf6,System 3...e6,Dontmesswithme_2 won on time,29.0,2018.08.26
Dontmesswithme_2,1995,United States of America,Black,Resigned,e6,bl_dimalanta,1983,Philippines,White,Win,d4,Pawn Opening Horwitz Defense 2.Bf4,bl_dimalanta won by resignation,31.0,2018.08.26
Dontmesswithme_2,1986,United States of America,Black,Resigned,d6,PushingForFun,2049,Canada,White,Win,Nf3,Pawn Opening Tartakower Variation,PushingForFun won by resignation,26.0,2018.08.26
Dontmesswithme_2,1980,United States of America,White,Resigned,d4,SelfishShellfish,2084,United States of America,Black,Win,g6,Defense with 1 e4 2.d4,SelfishShellfish won by resignation,30.0,2018.08.26
Dontmesswithme_2,1989,United States of America,Black,Win,c5,stankafiranovic,2014,Serbia,White,Timeout,e4,Defense Open Prins Variation 5...a6,Dontmesswithme_2 won on time,50.0,2018.08.26
Dontmesswithme_2,1997,United States of America,White,Win,d4,mattiiiii,1962,Albania,Black,Checkmated,g6,Defense with 1 e4 2.d4,Dontmesswithme_2 won by checkmate,24.0,2018.08.27
Dontmesswithme_2,2004,United States of America,Black,Win,c5,mattiiiii,1955,Albania,White,Checkmated,e4,Defense McDonnell Attack 2...d5 3.e5,Dontmesswithme_2 won by checkmate,28.0,2018.08.27
Dontmesswithme_2,2012,United States of America,White,Win,d4,NestaMarley,1979,France,Black,Checkmated,Nf6,System 3...e6 4.Bd3 c5,Dontmesswithme_2 won by checkmate,69.0,2018.08.27
Dontmesswithme_2,2005,United States of America,White,Resigned,d4,chess1lover,2049,United States of America,Black,Win,Nf6,Game Yusupov Rubinstein System,chess1lover won by resignation,19.0,2018.08.27
Dontmesswithme_2,2005,United States of America,Black,Draw agreed,c5,zako99,2025,Georgia,White,Draw agreed,e4,Defense Open Najdorf Variation 6.Bg5 e6,Game drawn by agreement,13.0,2018.08.27
Dontmesswithme_2,1641,United States of America,White,Draw by timeout vs insufficient material,d4,hantolin,1620,Spain,Black,Draw by timeout vs insufficient material,d5,Pawn Opening Zukertort Variation,Game drawn by timeout vs insufficient material,56.0,2018.08.27
Dontmesswithme_2,1648,United States of America,Black,Win,c5,TheWish,1591,United States of America,White,Timeout,e4,Defense 2.d3,Dontmesswithme_2 won on time,40.0,2018.08.27
Dontmesswithme_2,1643,United States of America,Black,Timeout,b5,MarriottBryan,1802,Jamaica,White,Win,d3,Opening,MarriottBryan won on time,45.0,2018.08.27
Dontmesswithme_2,1635,United States of America,White,Resigned,c4,carlomar,1644,France,Black,Win,e5,Opening Kings English Variation,carlomar won by resignation,22.0,2018.08.27
Dontmesswithme_2,1627,United States of America,Black,Timeout,c5,legocansado,1659,Canada,White,Win,e4,Defense 2.d3,legocansado won on time,43.0,2018.08.27
Dontmesswithme_2,1634,United States of America,Black,Win,c5,userChess,1597,Brazil,White,Resigned,e4,Defense OKelly Venice Ljubojevic Line,Dontmesswithme_2 won by resignation,24.0,2018.08.27
Dontmesswithme_2,1641,United States of America,Black,Win,e6,Paulhalley101,1593,Australia,White,Timeout,d4,Pawn Opening English Defense 3.Nc3 Bb7,Dontmesswithme_2 won on time,29.0,2018.08.27
Dontmesswithme_2,1650,United States of America,White,Win,d4,hugh2,1674,United States of America,Black,Checkmated,b6,Pawn Opening Owen Defense 2.d4,Dontmesswithme_2 won by checkmate,22.0,2018.08.27
Dontmesswithme_2,1641,United States of America,White,Timeout,d4,dondante23,1618,United States of America,Black,Win,d5,System,dondante23 won on time,42.0,2018.08.27
Dontmesswithme_2,1651,United States of America,White,Win,d4,otiefotie,1699,United States of America,Black,Resigned,e6,Pawn Opening Horwitz Defense,Dontmesswithme_2 won by resignation,22.0,2018.08.27
Dontmesswithme_2,1660,United States of America,White,Win,d4,SAbbya,1706,India,Black,Timeout,h6,Pawn Opening,Dontmesswithme_2 won on time,33.0,2018.08.27
Dontmesswithme_2,1653,United States of America,White,Timeout,d4,tarforipme,1707,"Virgin Islands, British",Black,Win,a6,Pawn Opening St George Defense 2.d4,tarforipme won on time,40.0,2018.08.27
Dontmesswithme_2,1646,United States of America,Black,Checkmated,e5,arpace,1689,Canada,White,Win,c4,Opening Kings English Variation 2.e3,arpace won by checkmate,25.0,2018.08.27
Dontmesswithme_2,1653,United States of America,Black,Win,e6,Shaggyru,1600,Australia,White,Checkmated,d4,Pawn Opening Horwitz Defense,Dontmesswithme_2 won by checkmate,33.0,2018.08.28
Dontmesswithme_2,1661,United States of America,Black,Win,d6,D84,1638,France,White,Timeout,Nf3,Pawn Opening Tartakower Variation,Dontmesswithme_2 won on time,33.0,2018.08.28
Dontmesswithme_2,1668,United States of America,White,Win,d4,D84,1631,France,Black,Checkmated,b6,Pawn Opening Owen Defense 2.d4,Dontmesswithme_2 won by checkmate,32.0,2018.08.28
Dontmesswithme_2,2013,United States of America,Black,Win,d6,crispy_critter,1977,United States of America,White,Checkmated,e4,Defense,Dontmesswithme_2 won by checkmate,25.0,2018.08.28
Dontmesswithme_2,2021,United States of America,Black,Win,d6,Admirov,2017,Brazil,White,Timeout,e4,Defense 2.d4 Nf6,Dontmesswithme_2 won on time,67.0,2018.08.28
Dontmesswithme_2,2016,United States of America,Black,Resigned,d6,sockosocko,2184,United States of America,White,Win,e4,Defense,sockosocko won by resignation,9.0,2018.08.28
Dontmesswithme_2,2008,United States of America,Black,Resigned,d6,fulhawz,2039,United States of America,White,Win,Nf3,Opening Pirc Invitation,fulhawz won by resignation,21.0,2018.08.28
Dontmesswithme_2,2017,United States of America,White,Win,d4,pianopoeta,2040,Honduras,Black,Checkmated,Nf6,Game,Dontmesswithme_2 won by checkmate,28.0,2018.08.28
Dontmesswithme_2,2009,United States of America,White,Timeout,d4,donzkivan,2013,Philippines,Black,Win,Nf6,Game,donzkivan won on time,44.0,2018.08.28
Dontmesswithme_2,2001,United States of America,Black,Checkmated,d6,donzkivan,2021,Philippines,White,Win,e4,Defense,donzkivan won by checkmate,31.0,2018.08.28
Dontmesswithme_2,2009,United States of America,White,Win,d4,donzkivan,2013,Philippines,Black,Checkmated,Nf6,Game,Dontmesswithme_2 won by checkmate,28.0,2018.08.28
Dontmesswithme_2,2001,United States of America,White,Resigned,d4,Zabor777,2005,Russian Federation,Black,Win,Nf6,Pawn Opening Symmetrical Variation,Zabor777 won by resignation,17.0,2018.08.28
Dontmesswithme_2,1993,United States of America,Black,Resigned,d5,DeathShallWait,2025,United States of America,White,Win,d4,Pawn Opening Krause Variation,DeathShallWait won by resignation,28.0,2018.08.28
Dontmesswithme_2,2001,United States of America,White,Win,d4,jomairi21,2002,Philippines,Black,Resigned,Nf6,Game,Dontmesswithme_2 won by resignation,9.0,2018.08.28
Dontmesswithme_2,2009,United States of America,White,Win,d4,DeathShallWait,2009,United States of America,Black,Checkmated,e5,Gambit Deferred Soller Gambit,Dontmesswithme_2 won by checkmate,57.0,2018.08.28
Dontmesswithme_2,2016,United States of America,Black,Win,d6,Ashrafi1988,1979,Afghanistan,White,Timeout,e4,Defense Anti Philidor Lions Claw Gambit,Dontmesswithme_2 won on time,24.0,2018.08.28
Dontmesswithme_2,2026,United States of America,Black,Win,d6,bobbejaan,2088,United States of America,White,Resigned,e4,Defense 2.Nc3 Nf6,Dontmesswithme_2 won by resignation,55.0,2018.08.28
Dontmesswithme_2,2017,United States of America,Black,Timeout,Nf6,kosovel,1996,United States of America,White,Win,d4,Indian Defense Normal Variation,kosovel won on time,27.0,2018.08.28
Dontmesswithme_2,2010,United States of America,White,Checkmated,d4,Cow-and-Boy,2071,"Korea, Republic of",Black,Win,Nf6,Game,Cow-and-Boy won by checkmate,19.0,2018.08.29
Dontmesswithme_2,2003,United States of America,Black,Timeout,e6,Poorboynj,2060,United States of America,White,Win,d4,Pawn Opening Horwitz Defense,Poorboynj won on time,64.0,2018.08.29
Dontmesswithme_2,1997,United States of America,White,Resigned,d4,global500,2096,United States of America,Black,Win,d5,Defense 3.Nc3,global500 won by resignation,19.0,2018.08.29
Dontmesswithme_2,1988,United States of America,White,Timeout,d4,oxidad0,1974,United States of America,Black,Win,d5,Gambit Declined,oxidad0 won on time,36.0,2018.08.29
Dontmesswithme_2,1987,United States of America,White,Insufficient material,d4,Juanjo395,1960,Ecuador,Black,Insufficient material,d5,Defense 3.Nc3,Game drawn by insufficient material,51.0,2018.08.29
Dontmesswithme_2,1995,United States of America,Black,Win,d6,bandershtadt,1978,Ukraine,White,Resigned,e4,Defense Anti Philidor Lions Cave Variation 5.Nf3 exd4 6.Qxd4 c6,Dontmesswithme_2 won by resignation,19.0,2018.08.29
Dontmesswithme_2,1987,United States of America,White,Timeout,d4,Arshilegorky,2024,United States of America,Black,Win,d5,Pawn Opening Accelerated London System,Arshilegorky won on time,48.0,2018.08.29
Dontmesswithme_2,1660,United States of America,White,Checkmated,d4,francescophil,1677,Canada,Black,Win,e6,Pawn Opening Horwitz Defense,francescophil won by checkmate,28.0,2018.08.30
Dontmesswithme_2,1669,United States of America,Black,Win,Nf6,kaoxing_gauleu,1680,Viet Nam,White,Timeout,d4,Game,Dontmesswithme_2 won on time,46.0,2018.08.30
Dontmesswithme_2,1677,United States of America,White,Win,d4,kaoxing_gauleu,1672,Viet Nam,Black,Timeout,Nf6,Game East Indian London System 3...Bg7,Dontmesswithme_2 won on time,43.0,2018.08.30
Dontmesswithme_2,1994,United States of America,Black,Win,c5,denne_ty,1958,Canada,White,Resigned,e4,Defense Open Scheveningen Matanovic Attack 6...a6,Dontmesswithme_2 won by resignation,22.0,2018.08.30
Dontmesswithme_2,2001,United States of America,Black,Win,c5,juanitoguerrero2486,1952,Philippines,White,Timeout,e4,Defense Closed 2...d6 3.g3,Dontmesswithme_2 won on time,57.0,2018.08.31
Dontmesswithme_2,1685,United States of America,Black,Win,Nf6,RaulinStgo,1653,Chile,White,Timeout,d4,Indian Defense 3.Nc3 d6,Dontmesswithme_2 won on time,33.0,2018.08.31
Dontmesswithme_2,1695,United States of America,Black,Win,d6,Abdelhafidi,1744,Algeria,White,Resigned,Nf3,Opening Pirc Invitation,Dontmesswithme_2 won by resignation,33.0,2018.08.31
Dontmesswithme_2,1704,United States of America,White,Win,d4,mk2014,1715,United States of America,Black,Timeout,e6,Pawn Opening Horwitz Defense 2.Bf4,Dontmesswithme_2 won on time,55.0,2018.08.31
Dontmesswithme_2,1713,United States of America,White,Win,d4,jalfrado,1728,United States of America,Black,Timeout,d5,Pawn Opening Accelerated London Steinitz Countergambit,Dontmesswithme_2 won on time,22.0,2018.08.31
Dontmesswithme_2,1720,United States of America,Black,Win,c5,RandalR00,1682,El Salvador,White,Timeout,e4,Defense Open Scheveningen Classical Variation 6...a6,Dontmesswithme_2 won on time,27.0,2018.08.31
Dontmesswithme_2,1727,United States of America,Black,Win,c5,jaguar1212,1682,United States of America,White,Checkmated,e3,Kruijs Opening,Dontmesswithme_2 won by checkmate,23.0,2018.08.31
Dontmesswithme_2,1721,United States of America,White,Timeout,d4,ShinyWrecker,1812,United States of America,Black,Win,d5,Pawn Opening Accelerated London Steinitz Countergambit,ShinyWrecker won on time,43.0,2018.08.31
Dontmesswithme_2,1712,United States of America,White,Resigned,d4,imjustachicken,1707,Australia,Black,Win,c5,Benoni Defense,imjustachicken won by resignation,7.0,2018.08.31
Dontmesswithme_2,1720,United States of America,Black,Win,Nf6,imjustachicken,1699,Australia,White,Checkmated,d4,Indian Defense,Dontmesswithme_2 won by checkmate,31.0,2018.08.31
Dontmesswithme_2,1729,United States of America,White,Win,d4,cherry10,1748,India,Black,Timeout,c6,Pawn Opening 1...c6,Dontmesswithme_2 won on time,32.0,2018.08.31
Dontmesswithme_2,1723,United States of America,Black,Timeout,c5,TehRat,1811,United States of America,White,Win,e4,Defense Closed 2...d6,TehRat won on time,48.0,2018.08.31
Dontmesswithme_2,1730,United States of America,White,Win,d4,kimydora,1694,Philippines,Black,Timeout,g6,Defense with 1 d4,Dontmesswithme_2 won on time,41.0,2018.08.31
Dontmesswithme_2,1739,United States of America,Black,Win,Nf6,Goodison,1769,United Kingdom of Great Britain and Northern Ireland,White,Checkmated,d4,Attack Raptor Variation,Dontmesswithme_2 won by checkmate,27.0,2018.08.31
Dontmesswithme_2,1749,United States of America,White,Win,d4,ArMakkedon,1839,"Macedonia, the former Yugoslav Republic of",Black,Resigned,Nf6,Game,Dontmesswithme_2 won by resignation,32.0,2018.08.31
Dontmesswithme_2,1740,United States of America,Black,Timeout,c5,windbrick,1719,United States of America,White,Win,e4,Defense Bowdler Attack,windbrick won on time,44.0,2018.08.31
Dontmesswithme_2,1748,United States of America,White,Win,d4,Austin348,1742,United States of America,Black,Resigned,d6,Defense 2.d4,Dontmesswithme_2 won by resignation,23.0,2018.08.31
Dontmesswithme_2,1740,United States of America,Black,Timeout,c5,Austin348,1750,United States of America,White,Win,e4,Defense 2.Nf3 d6,Austin348 won on time,52.0,2018.08.31
Dontmesswithme_2,1732,United States of America,White,Timeout,d4,Austin348,1758,United States of America,Black,Win,d6,Defense 2.d4,Austin348 won on time,34.0,2018.08.31
Dontmesswithme_2,1740,United States of America,Black,Win,c5,PistachioNut1022,1742,United States of America,White,Resigned,e4,Defense Open Scheveningen Variation 6.Be3 a6,Dontmesswithme_2 won by resignation,27.0,2018.08.31
Dontmesswithme_2,1748,United States of America,Black,Win,c5,Balapan001,1748,Kazakhstan,White,Timeout,c4,Opening Symmetrical Variation,Dontmesswithme_2 won on time,40.0,2018.08.31
Dontmesswithme_2,1742,United States of America,White,Timeout,d4,fourcupsoflean,1838,United States of America,Black,Win,g6,Defense with 1 d4,fourcupsoflean won on time,54.0,2018.08.31
Dontmesswithme_2,1749,United States of America,Black,Win,c5,cherry10,1693,India,White,Checkmated,Nf3,Opening Sicilian Invitation 2.g3,Dontmesswithme_2 won by checkmate,28.0,2018.08.31
Dontmesswithme_2,1756,United States of America,White,Win,d4,getoffmyjunk,1696,United States of America,Black,Checkmated,d5,Pawn Opening Accelerated London System,Dontmesswithme_2 won by checkmate,41.0,2018.08.31
Dontmesswithme_2,1763,United States of America,White,Win,d4,Fire_Of_Phoenix,1715,India,Black,Checkmated,d5,Pawn Opening Accelerated London System,Dontmesswithme_2 won by checkmate,18.0,2018.08.31
Dontmesswithme_2,1771,United States of America,White,Win,d4,raycspring,1745,United States of America,Black,Timeout,Nf6,Game,Dontmesswithme_2 won on time,29.0,2018.08.31
Dontmesswithme_2,1780,United States of America,Black,Win,c5,robbiousa,1803,United States of America,White,Checkmated,e4,Defense Tartakower Variation,Dontmesswithme_2 won by checkmate,37.0,2018.08.31
Dontmesswithme_2,1775,United States of America,Black,Timeout,Nf6,Norasuko,1916,Russian Federation,White,Win,d4,Game East Indian London System 3...Bg7 4.e3,Norasuko won on time,31.0,2018.08.31
Dontmesswithme_2,1784,United States of America,White,Win,d4,Thiennhi2000,1630,Viet Nam,Black,Timeout,d5,Pawn Opening Accelerated London System,Dontmesswithme_2 won on time,10.0,2018.08.31
Dontmesswithme_2,1775,United States of America,Black,Checkmated,c5,ThomasDoubter,1769,Philippines,White,Win,f3,Opening,ThomasDoubter won by checkmate,38.0,2018.08.31
Dontmesswithme_2,1784,United States of America,White,Win,d4,AceofSpies2,1805,United States of America,Black,Checkmated,Nf6,Game,Dontmesswithme_2 won by checkmate,32.0,2018.08.31
Dontmesswithme_2,1793,United States of America,Black,Win,e5,abcde_carlsen,1818,United States of America,White,Timeout,g3,Fianchetto Opening 1...e5 2.Bg2,Dontmesswithme_2 won on time,40.0,2018.08.31
Dontmesswithme_2,1802,United States of America,White,Win,d4,abcde_carlsen,1809,United States of America,Black,Resigned,g6,Defense with 1 d4,Dontmesswithme_2 won by resignation,31.0,2018.08.31
Dontmesswithme_2,1794,United States of America,Black,Timeout,d5,abcde_carlsen,1817,United States of America,White,Win,b3,Larsen Attack Classical Variation 2.Bb2,abcde_carlsen won on time,53.0,2018.08.31
Dontmesswithme_2,1785,United States of America,Black,Timeout,c5,deedmk,1755,Norway,White,Win,e4,Defense McDonnell Attack 2...d5,deedmk won on time,54.0,2018.08.31
Dontmesswithme_2,1793,United States of America,White,Win,d4,rickyhitman10,1772,Russian Federation,Black,Timeout,b6,Defense,Dontmesswithme_2 won on time,30.0,2018.08.31
Dontmesswithme_2,1803,United States of America,White,Win,d4,maxamilli12,1877,United States of America,Black,Checkmated,d6,Pawn Opening 1...d6,Dontmesswithme_2 won by checkmate,18.0,2018.08.31
Dontmesswithme_2,1797,United States of America,Black,Timeout,Nf6,maxamilli12,1883,United States of America,White,Win,d4,Indian Defense Normal Variation 4.Nf3,maxamilli12 won on time,37.0,2018.08.31
Dontmesswithme_2,1790,United States of America,White,Checkmated,d4,JFCubas,1864,Mexico,Black,Win,Nf6,Game,JFCubas won by checkmate,48.0,2018.08.31
Dontmesswithme_2,1797,United States of America,White,Win,d4,kosovel,1746,United States of America,Black,Checkmated,d5,Pawn Opening Accelerated London Steinitz Countergambit,Dontmesswithme_2 won by checkmate,21.0,2018.08.31
Dontmesswithme_2,1788,United States of America,Black,Checkmated,e5,bughalamun,1779,"Iran, Islamic Republic of",White,Win,d3,Opening Reversed Rat Valencia Variation,bughalamun won by checkmate,30.0,2018.08.31
Dontmesswithme_2,1797,United States of America,Black,Win,c5,markost12,1804,Croatia,White,Resigned,e4,Defense Bowdler Attack,Dontmesswithme_2 won by resignation,20.0,2018.08.31
Dontmesswithme_2,1793,United States of America,Black,Resigned,Nf6,Outcome46,1979,United States of America,White,Win,d4,Game,Outcome46 won by resignation,22.0,2018.08.31
Dontmesswithme_2,1784,United States of America,White,Timeout,d4,baronn,1760,"Iran, Islamic Republic of",Black,Win,e6,Pawn Opening Horwitz Defense 2.Bf4,baronn won on time,18.0,2018.08.31
Dontmesswithme_2,1792,United States of America,Black,Win,c5,PiotrAnton,1775,France,White,Timeout,d4,Benoni Defense 2.c4 cxd4,Dontmesswithme_2 won on time,45.0,2018.08.31
Dontmesswithme_2,1784,United States of America,White,Resigned,d4,PiotrAnton,1783,France,Black,Win,c5,Benoni Defense 2.d5 d6,PiotrAnton won by resignation,25.0,2018.08.31
Dontmesswithme_2,1792,United States of America,Black,Win,Nf6,PiotrAnton,1775,France,White,Timeout,d4,Indian Defense Normal Variation 4.Nf3,Dontmesswithme_2 won on time,48.0,2018.08.31
Dontmesswithme_2,1800,United States of America,White,Win,d4,PiotrAnton,1767,France,Black,Timeout,c5,Benoni Defense Schmid Variation,Dontmesswithme_2 won on time,35.0,2018.08.31
Dontmesswithme_2,1807,United States of America,White,Win,d4,MordsMordreas,1744,United States of America,Black,Timeout,Nf6,Game,Dontmesswithme_2 won on time,35.0,2018.09.01
Dontmesswithme_2,1800,United States of America,White,Checkmated,d4,Dr-XX,1853,Indonesia,Black,Win,c6,Pawn Opening 1...c6,Dr-XX won by checkmate,31.0,2018.09.01
Dontmesswithme_2,1807,United States of America,Black,Win,c5,valencia1,1763,Mexico,White,Timeout,e4,Defense Keres Variation,Dontmesswithme_2 won on time,32.0,2018.09.01
Dontmesswithme_2,1815,United States of America,Black,Win,d5,ramjibajpai,1784,India,White,Timeout,b3,Larsen Attack Classical Variation 2.Bb2,Dontmesswithme_2 won on time,50.0,2018.09.01
Dontmesswithme_2,1822,United States of America,White,Win,d4,ramjibajpai,1777,India,Black,Timeout,g6,Defense with 1 d4,Dontmesswithme_2 won on time,46.0,2018.09.01
Dontmesswithme_2,1994,United States of America,White,Timeout,d4,juanitoguerrero2486,2074,Philippines,Black,Win,Nf6,Game,juanitoguerrero2486 won on time,41.0,2018.09.01
Dontmesswithme_2,1986,United States of America,Black,Timeout,e5,Merk64,1998,Ukraine,White,Win,d3,Opening Reversed Rat Variation,Merk64 won on time,40.0,2018.09.01
Dontmesswithme_2,1977,United States of America,Black,Resigned,c5,TheBrigade01,1959,Canada,White,Win,e4,Defense 2.Nf3 d6,TheBrigade01 won by resignation,24.0,2018.09.04
Dontmesswithme_2,1984,United States of America,Black,Win,d6,xyz987,1934,United States of America,White,Resigned,e4,Defense 2.Nc3 Nf6,Dontmesswithme_2 won by resignation,63.0,2018.09.04
Dontmesswithme_2,1979,United States of America,Black,Resigned,d6,CaRlSeN2017ChEsS,2122,Brazil,White,Win,e4,Defense Anti Philidor Lions Cave Variation,CaRlSeN2017ChEsS won by resignation,32.0,2018.09.04
Dontmesswithme_2,1971,United States of America,White,Timeout,d4,asit12,1968,India,Black,Win,d5,Pawn Opening Accelerated London System,asit12 won on time,27.0,2018.09.04
Dontmesswithme_2,1813,United States of America,Black,Resigned,e6,1stAGGRESSOR,1795,Zimbabwe,White,Win,d4,Pawn Opening Horwitz Defense,1stAGGRESSOR won by resignation,13.0,2018.09.04
Dontmesswithme_2,1805,United States of America,Black,Timeout,d6,blind_conciousness,1835,Turkey,White,Win,e4,Defense Anti Philidor Lions Cave Variation,blind_conciousness won on time,28.0,2018.09.05
Dontmesswithme_2,1797,United States of America,White,Resigned,d4,mmm_rawr,1818,United States of America,Black,Win,c5,Benoni Defense,mmm_rawr won by resignation,21.0,2018.09.05
Dontmesswithme_2,1806,United States of America,White,Win,c4,aytenyoga,1819,United Kingdom of Great Britain and Northern Ireland,Black,Checkmated,e5,Opening Two Knights Variation,Dontmesswithme_2 won by checkmate,20.0,2018.09.05
Dontmesswithme_2,1799,United States of America,White,Timeout,c4,YUKL_R,1860,Russian Federation,Black,Win,c6,Pawn Opening 1...c6 2.c4,YUKL_R won on time,30.0,2018.09.05
Dontmesswithme_2,1807,United States of America,White,Win,d4,DiscerningKing,1803,United States of America,Black,Timeout,d5,Pawn Opening Accelerated London System,Dontmesswithme_2 won on time,35.0,2018.09.05
Dontmesswithme_2,1962,United States of America,Black,Resigned,e6,castacasta,1942,China,White,Win,d4,Pawn Opening Horwitz Defense,castacasta won by resignation,24.0,2018.09.05
Dontmesswithme_2,1956,United States of America,Black,Resigned,c5,LoneBlackKnight,2072,United States of America,White,Win,e4,Defense Bowdler Attack,LoneBlackKnight won by resignation,27.0,2018.09.05
Dontmesswithme_2,1965,United States of America,White,Win,c4,jlievano58,1983,El Salvador,Black,Checkmated,Nf6,Gambit Declined Marshall Defense 3.Nc3,Dontmesswithme_2 won by checkmate,24.0,2018.09.05
Dontmesswithme_2,1959,United States of America,White,Timeout,c4,shakaking3,2057,United States of America,Black,Win,c5,Defense Staunton Cochrane Variation,shakaking3 won on time,30.0,2018.09.05
Dontmesswithme_2,1950,United States of America,Black,Resigned,c5,WillyCP,1943,Argentina,White,Win,e4,Defense Lasker Dunne Attack,WillyCP won by resignation,17.0,2018.09.05
Dontmesswithme_2,1958,United States of America,Black,Win,e6,Yoruksakini,1923,Turkey,White,Resigned,d4,Pawn Opening English Defense 3.Nc3 Bb7 4.e4,Dontmesswithme_2 won by resignation,21.0,2018.09.05
Dontmesswithme_2,1950,United States of America,White,Resigned,c4,WillyCP,1958,Argentina,Black,Win,Nf6,Indian Defense 3.Nc3,WillyCP won by resignation,23.0,2018.09.05
Dontmesswithme_2,1944,United States of America,White,Timeout,c4,Triorchid,2041,Italy,Black,Win,Nf6,Opening Anglo Indian Queens Knight Variation 2...g6 3.g3,Triorchid won on time,47.0,2018.09.05
Dontmesswithme_2,1937,United States of America,Black,Checkmated,e6,luonishicastro,1975,Brazil,White,Win,e4,Defense Normal Variation,luonishicastro won by checkmate,33.0,2018.09.05
Dontmesswithme_2,1946,United States of America,Black,Win,c5,itsmeant2b,1954,Turkey,White,Resigned,Nf3,Opening Symmetrical Variation 2.Nf3,Dontmesswithme_2 won by resignation,46.0,2018.09.05
Dontmesswithme_2,1954,United States of America,Black,Win,e6,WillyCP,1951,Argentina,White,Resigned,e4,Defense Winawer Variation 4.Qg4,Dontmesswithme_2 won by resignation,19.0,2018.09.05
Dontmesswithme_2,1962,United States of America,White,Win,c4,WillyCP,1943,Argentina,Black,Checkmated,Nf6,Opening Anglo Indian Queens Knight Variation 2...g6,Dontmesswithme_2 won by checkmate,27.0,2018.09.05
Dontmesswithme_2,1956,United States of America,Black,Timeout,c5,AlExpress94,2036,Italy,White,Win,Nf3,Defense 2.Nf3,AlExpress94 won on time,45.0,2018.09.05
